Posicion,Album,Nombre del artista,Numero de canciones de primer lugar,Numero de canciones en el top 10,Numero de canciones en el top 100
140,Collection One,SAINt JHN,0,0,1
141,The Essential Elvis Presley,Elvis Presley,0,0,2
142,Doo-Wops & Hooligans,Bruno Mars,0,1,5
143,Happiness Begins,Jonas Brothers,0,0,2
144,Ultimate Sinatra,Frank Sinatra,0,0,3
145,H.E.R.,H.E.R.,0,0,4
146,Here And Now,Kenny Chesney,0,0,57
147,Christmas,Michael Buble,0,1,9
148,It Was Good Until It Wasn't,Kehlani,0,0,1
149,The Essential Michael Jackson,Michael Jackson,0,0,2
150,Blurryface,twenty one pilots,0,2,6
151,IGOR,"Tyler, The Creator",0,0,14
152,Emmanuel,Anuel AA,0,0,8
153,ANTI,Rihanna,0,0,8
154,Tickets To My Downfall,Machine Gun Kelly,0,8,16
155,Slime & B,Chris Brown & Young Thug,4,6,15
157,Good Intentions,NAV,0,1,3
158,The Best Of Pentatonix Christmas,Pentatonix,0,0,1
159,Nothing Was The Same,Drake,1,13,41
160,I'm Him,Kevin Gates,0,0,1
161,The Very Best Of Daryl Hall John Oates,Daryl Hall John Oates,6,16,34
162,The Eminem Show,Eminem,0,0,5
163,No Pressure,Logic,0,2,22
164,Center Point Road,Thomas Rhett,0,0,20
165,Greatest Hits: The Ultimate Collection,Bon Jovi,0,1,1
166,Appetite For Destruction,Guns N' Roses,1,1,3
167,A Decade Of Destruction,Five Finger Death Punch,1,3,4
168,Merry Christmas,Mariah Carey,0,1,1
169,Frozen,Soundtrack,76,287,1734
170,Curtain Call: The Hits,Eminem,0,0,5
171,38 Baby 2,YoungBoy Never Broke Again,0,0,11
172,All Time Greatest Hits,Lynyrd Skynyrd,0,1,6
173,Greatest Hits,Red Hot Chili Peppers,0,0,1
174,Las Que No Iban A Salir,Bad Bunny,1,4,24
175,50 Number Ones,George Strait,0,0,37
176,Born To Die,Lana Del Rey,0,0,4
177,Metallica,Metallica,0,1,1
178,Homesick (EP),Trevor Daniel,0,0,1
179,Detroit 2,Big Sean,0,0,7
180,Kid Krow,Conan Gray,0,0,1
181,Harder Than Ever,Lil Baby,0,4,33
182,The New Toronto 3,Tory Lanez,0,0,1
183,Goldmine,Gabby Barrett,0,0,2
184,B4 The Storm,Internet Money,0,1,4
185,Night Visions,Imagine Dragons,0,0,4
186,Man On The Moon: The End Of Day,Kid Cudi,0,0,4
187,The Christmas Song,Nat King Cole,0,0,4
188,C A L M,5 Seconds Of Summer,0,1,14
189,The Album,BLACKPINK,1,2,10
190,F*ck Love,The Kid LAROI,0,0,3
192,T R A P S O U L,Bryson Tiller,0,0,9
193,Ella Mai,Ella Mai,0,0,1
194,In The Lonely Hour,Sam Smith,0,0,5
195,Where The Light Is,Surfaces,0,0,1
196,Wildcard,Miranda Lambert,0,0,1
197,JESUS IS KING (Soundtrack),Kanye West,0,3,25
198,A Charlie Brown Christmas (Soundtrack),Vince Guaraldi Trio,0,0,1
199,Ordinary Man,Ozzy Osbourne,0,0,1
200,"NCT #127: Neo Zone, The 2nd Album",NCT 127,0,1,3
